animal	DOB	sex	study	study2	DateStudy	Age	Rearing	Rearing2	Rearing3	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	ID	Age group
KIHT 5461	32361	F	1	1	01/03/2010	21	N	N	C	NA	NA	0	Video	Diet	5	0	2	KIHT 5461	3
KOBI 3020	26299	M	1	1	01/03/2010	38	W	M	W	1	0	1	Video	Diet	5	1	1	KOBI 3020	4
KROG 5823	33671	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	1	0	1	KROG 5823	3
KUDZU 4639	30292	M	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	5	0	4	KUDZU 4639	3
KUHTA 4162	29291	M	1	1	01/03/2010	29	M	M	C	1	0	1	Video	Diet	5	1	2	KUHTA 4162	3
KUKUI 5035	30796	M	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	2	0	1	KUKUI 5035	3
LACEY 3915	28605	F	1	1	01/03/2010	31	U	U	U	NA	NA	0	Video	Diet	2	0	2	LACEY 3915	3
LEXUS 6396	35849	F	1	1	01/03/2010	12	M	M	C	NA	NA	0	Video	Diet	6	0	5	LEXUS 6396	2
LULU 4510	29967	F	1	1	01/03/2010	28	M	M	C	NA	NA	0	Video	Diet	5	0	3	LULU 4510	3
LYLE 6427	36106	M	1	1	01/03/2010	11	M	M	C	NA	NA	0	Video	Diet	6	0	4	LYLE 6427	2
MAE 2242	23743	F	1	1	01/03/2010	45	W	M	W	NA	NA	0	Video	Diet	3	0	2	MAE 2242	4
MAGIC 5855	33809	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	7	0	5	MAGIC 5855	3
MAHI 5650	33034	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	3	0	1	MAHI 5650	3
MAHSHO 5480	32442	M	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	5	0	2	MAHSHO 5480	3
MAISHPA 4520	30007	F	1	1	01/03/2010	28	N	N	C	1	0	1	Video	Diet	4	1	1	MAISHPA 4520	3
MANDY 5062	30933	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	6	0	4	MANDY 5062	3
MARCUS 5789	33560	M	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	3	0	2	MARCUS 5789	3
MARTHA 2429	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	9	0	6	MARTHA 2429	4
MARTIN 5883	33959	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	6	0	5	MARTIN 5883	3
MARY 1855	23743	F	1	1	01/03/2010	45	W	M	W	NA	NA	0	Video	Diet	7	0	4	MARY 1855	4
MAXI 5360	31978	F	1	1	01/03/2010	22	N	N	C	0	-1	0	Video	Diet	3	1	2	MAXI 5360	3
MAYNARD 2200	26299	M	1	1	01/03/2010	38	W	M	W	0	-1	0	Video	Diet	9	1	7	MAYNARD 2200	4
MICHON 4648	30314	F	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	6	0	5	MICHON 4648	3
MILONI 5050	30940	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	1	0	0	MILONI 5050	3
MISCHINI 5301	31778	F	1	1	01/03/2010	23	M	M	C	NA	NA	0	Video	Diet	1	0	0	MISCHINI 5301	3
MISTY 5042	30850	F	1	1	01/03/2010	25	U	U	U	NA	NA	0	Video	Diet	3	0	3	MISTY 5042	3
MONIQUE 5769	33480	F	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	4	0	4	MONIQUE 5769	3
MOOSE 2045	25569	M	1	1	01/03/2010	40	W	M	W	1	0	1	Video	Diet	10	1	7	MOOSE 2045	4
MUFFIN 4345	29676	F	1	1	01/03/2010	28	M	M	C	NA	NA	0	Video	Diet	5	0	4	MUFFIN 4345	3
NAHAGIO 4532	30037	F	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	3	0	1	NAHAGIO 4532	3
NAHJA 5664	33058	F	1	1	01/03/2010	19	N	N	C	NA	NA	0	Video	Diet	6	0	2	NAHJA 5664	3
NAHKO 5295	31731	M	1	1	01/03/2010	23	M	M	C	NA	NA	0	Video	Diet	2	0	0	NAHKO 5295	3
NICK 5432	32240	M	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	7	0	6	NICK 5432	3
NINA 4760	30654	F	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	4	0	4	NINA 4760	3
NOWI 4716	30448	M	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	4	0	2	NOWI 4716	3
OKI 5080	30999	F	1	1	01/03/2010	25	M	M	C	1	0	1	Video	Diet	4	1	1	OKI 5080	3
OREO 5315	31804	F	1	1	01/03/2010	23	N	N	C	NA	NA	0	Video	Diet	2	0	2	OREO 5315	3
OSCAR 5563	32702	M	1	1	01/03/2010	20	N	N	C	1	0	1	Video	Diet	3	1	2	OSCAR 5563	3
PACER 2957	25934	M	1	1	01/03/2010	39	W	M	W	NA	NA	0	Video	Diet	2	0	2	PACER 2957	4
PAHSTIHL 5221	31467	F	1	1	01/03/2010	24	N	N	C	NA	NA	0	Video	Diet	2	0	0	PAHSTIHL 5221	3
PATTI 2371	25204	F	1	1	01/03/2010	41	W	M	W	NA	NA	0	Video	Diet	2	0	2	PATTI 2371	4
PECOS 5421	32201	M	1	1	01/03/2010	22	M	M	C	NA	NA	0	Video	Diet	5	0	5	PECOS 5421	3
PEHGIA 5047	30860	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	1	0	0	PEHGIA 5047	3
PEPPER 2106	24473	F	1	1	01/03/2010	43	W	M	W	0	-1	0	Video	Diet	9	1	5	PEPPER 2106	4
PERRY 1549	23012	M	1	1	01/03/2010	47	W	M	W	NA	NA	0	Video	Diet	2	0	2	PERRY 1549	4
PIERRE 1844	22647	M	1	1	01/03/2010	48	W	M	W	NA	NA	0	Video	Diet	4	0	4	PIERRE 1844	4
PIMACH 5873	33936	M	1	1	01/03/2010	17	M	M	C	1	0	1	Video	Diet	4	1	1	PIMACH 5873	3
PIPLIN 6035	34484	M	1	1	01/03/2010	15	M	M	C	NA	NA	0	Video	Diet	2	0	0	PIPLIN 6035	2
POLLY 1756	24838	F	1	1	01/03/2010	42	W	M	W	NA	NA	0	Video	Diet	6	0	5	POLLY 1756	4
PRISSY 2430	24838	F	1	1	01/03/2010	42	W	M	W	NA	NA	0	Video	Diet	4	0	4	PRISSY 2430	4
PUNCH 4647	30313	M	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	6	0	4	PUNCH 4647	3
QUINCY 2721	25934	F	1	1	01/03/2010	39	W	M	W	0	-1	0	Video	Diet	6	1	2	QUINCY 2721	4
RADAR 5608	32887	M	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	7	0	4	RADAR 5608	3
REEUH 5294	31714	M	1	1	01/03/2010	23	M	M	C	NA	NA	0	Video	Diet	1	0	0	REEUH 5294	3
RHODA 1841	23012	F	1	1	01/03/2010	47	W	M	W	NA	NA	0	Video	Diet	2	0	1	RHODA 1841	4
ROGER 2246	25569	M	1	1	01/03/2010	40	W	M	W	NA	NA	0	Video	Diet	0	0	0	ROGER 2246	4
ROSIE 3459	27390	F	1	1	01/03/2010	35	U	U	U	NA	NA	0	Video	Diet	4	0	4	ROSIE 3459	4
ROXANNE 5681	33143	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	0	0	0	ROXANNE 5681	3
RUSTY 6176	34989	M	1	1	01/03/2010	14	M	M	C	NA	NA	0	Video	Diet	3	0	2	RUSTY 6176	2
SABRINA 2167	24838	F	1	1	01/03/2010	42	W	M	W	1	0	1	Video	Diet	3	1	1	SABRINA 2167	4
SAHBA 5666	33063	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	4	0	0	SAHBA 5666	3
SAMSON 5063	30939	M	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	5	0	4	SAMSON 5063	3
SANDY 3153	26299	F	1	1	01/03/2010	38	W	M	W	NA	NA	0	Video	Diet	7	0	6	SANDY 3153	4
SHAHEE 5645	33016	M	1	1	01/03/2010	19	M	M	C	1	0	1	Video	Diet	6	1	1	SHAHEE 5645	3
SIMBA 2724	25934	M	1	1	01/03/2010	39	W	M	W	1	0	1	Video	Diet	3	1	2	SIMBA 2724	4
SKEETER 3823	36330	M	1	1	01/03/2010	10	U	U	U	NA	NA	0	Video	Diet	4	0	4	SKEETER 3823	2
SIMON 2113	24838	M	1	1	01/03/2010	42	W	M	W	NA	NA	0	Video	Diet	4	0	4	SIMON 2113	4
SINDEE 6496	36330	F	1	1	01/03/2010	10	M	M	C	NA	NA	0	Video	Diet	6	0	4	SINDEE 6496	2
SOPHIE 5442	32289	F	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	6	0	5	SOPHIE 5442	3
SPARKY 5492	32479	M	1	1	01/03/2010	21	N	N	C	NA	NA	0	Video	Diet	0	0	0	SPARKY 5492	3
STAUN 5036	30829	M	1	1	01/03/2010	25	M	M	C	1	0	1	Video	Diet	3	1	1	STAUN 5036	3
SUHNA 5647	33028	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	3	0	1	SUHNA 5647	3
TABU 9703	33475	M	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	2	0	1	TABU 9703	3
TAFFY 9713	36396	F	1	1	01/03/2010	10	M	M	C	NA	NA	0	Video	Diet	0	0	0	TAFFY 9713	2
TAHMIA 5565	32704	F	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	1	0	0	TAHMIA 5565	3
TAMBLO 5695	33230	M	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	1	0	0	TAMBLO 5695	3
TANG 2169	24838	F	1	1	01/03/2010	42	W	M	W	1	0	1	Video	Diet	3	1	2	TANG 2169	4
TANYA 2354	25204	F	1	1	01/03/2010	41	W	M	W	NA	NA	0	Video	Diet	0	0	0	TANYA 2354	4
TASHA 5871	33926	F	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	7	0	4	TASHA 5871	3
TINA 5210	31436	F	1	1	01/03/2010	24	M	M	C	NA	NA	0	Video	Diet	6	0	5	TINA 5210	3
TINKER 4751	30619	M	1	1	01/03/2010	26	U	U	U	NA	NA	0	Video	Diet	3	0	3	TINKER 4751	3
TODY 2720	25934	F	1	1	01/03/2010	39	W	M	W	NA	NA	0	Video	Diet	0	0	0	TODY 2720	4
TOHBI 5556	32673	M	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	2	0	0	TOHBI 5556	3
TONY 5651	33044	M	1	1	01/03/2010	19	U	U	U	NA	NA	0	Video	Diet	2	0	2	TONY 5651	3
TOTONI 6007	34363	M	1	1	01/03/2010	16	M	M	C	NA	NA	0	Video	Diet	2	0	1	TOTONI 6007	3
TRACEY 5300	31778	F	1	1	01/03/2010	23	N	N	C	NA	NA	0	Video	Diet	2	0	2	TRACEY 5300	3
TULIK 4206	29342	F	1	1	01/03/2010	29	M	M	C	0	-1	0	Video	Diet	6	1	3	TULIK 4206	3
VERANA 2431	25204	F	1	1	01/03/2010	41	W	M	W	NA	NA	0	Video	Diet	4	0	3	VERANA 2431	4
URSULA 1719	23377	F	1	1	01/03/2010	46	W	M	W	NA	NA	0	Video	Diet	4	0	4	URSULA 1719	4
WOTONI 4562	30115	F	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	0	0	0	WOTONI 4562	3
XENA 6487	36229	F	1	1	01/03/2010	10	M	M	C	NA	NA	0	Video	Diet	3	0	3	XENA 6487	2
ZIPPY 2537	25934	M	1	1	01/03/2010	39	W	M	W	NA	NA	0	Video	Diet	3	0	3	ZIPPY 2537	4
ZOE 10254	37359	F	1	1	01/03/2010	7	M	M	C	NA	NA	0	Video	Diet	8	0	5	ZOE 10254	1
ABBEY 2105	32955	F	2	2	01/04/2008	18	W	M	W	NA	NA	0	Video	Tool	2	0	2	ABBEY 2105	3
ADONIS 3521	27434	M	2	2	01/04/2008	33	M	M	C	NA	NA	0	Video	Tool	4	0	4	ADONIS 3521	3
AHNI 6104	34721	F	2	2	01/04/2008	13	M	M	C	NA	NA	0	Video	Tool	4	0	1	AHNI 6104	2
