animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
LULU 4510	29967	F	18	06/06/2007	25	M	0.33	0	1	Group	Box	5	1	3	M	LULU 4510	3
LYLE 6427	36106	M	18	06/06/2007	8	M	0.67	0.33	1	Group	Box	6	1	3	M	LYLE 6427	2
MAE 2242	23743	F	18	06/06/2007	42	M	0.33	0	1	Group	Box	3	1	1	W	MAE 2242	4
MAGIC 5855	33809	M	18	06/06/2007	14	M	0.33	0	1	Group	Box	7	1	5	M	MAGIC 5855	2
MAHI 5650	33034	F	18	06/06/2007	17	M	NA	NA	0	Group	Box	3	0	1	M	MAHI 5650	3
MAHSHO 5480	32442	M	18	06/06/2007	18	M	0.33	0	1	Group	Box	5	1	1	M	MAHSHO 5480	3
MAISHPA 4520	30007	F	18	06/06/2007	25	N	NA	NA	0	Group	Box	4	0	0	N	MAISHPA 4520	3
MANDY 5062	30933	F	18	06/06/2007	22	M	NA	NA	0	Group	Box	6	0	4	M	MANDY 5062	3
MARCUS 5789	33560	M	18	06/06/2007	15	M	0.33	0	1	Group	Box	3	1	1	M	MARCUS 5789	2
MARTHA 2429	24108	F	18	06/06/2007	41	M	0.67	0.33	1	Group	Box	9	1	5	W	MARTHA 2429	4
MARTIN 5883	33959	M	18	06/06/2007	14	M	0.33	0	1	Group	Box	6	1	4	M	MARTIN 5883	2
MARY 1855	23743	F	18	06/06/2007	42	M	0.33	0	1	Group	Box	7	1	3	W	MARY 1855	4
MAXI 5360	31978	F	18	06/06/2007	19	N	NA	NA	0	Group	Box	3	0	1	N	MAXI 5360	3
MAYNARD 2200	26299	M	18	06/06/2007	35	M	0.33	0	1	Group	Box	9	1	5	W	MAYNARD 2200	4
MICHON 4648	30314	F	18	06/06/2007	24	M	0.67	0.33	1	Group	Box	6	1	3	M	MICHON 4648	3
MILONI 5050	30940	F	18	06/06/2007	22	M	NA	NA	0	Group	Box	1	0	0	M	MILONI 5050	3
MISCHINI 5301	31778	F	18	06/06/2007	20	M	NA	NA	0	Group	Box	1	0	0	M	MISCHINI 5301	3
MISTY 5042	30850	F	18	06/06/2007	22	U	NA	NA	0	Group	Box	3	0	3	U	MISTY 5042	3
MONIQUE 5769	33480	F	18	06/06/2007	15	M	0.67	0.33	1	Group	Box	4	1	3	M	MONIQUE 5769	2
MOOSE 2045	25569	M	18	06/06/2007	37	M	0.33	0	1	Group	Box	10	1	5	W	MOOSE 2045	4
MUFFIN 4345	29676	F	18	06/06/2007	26	M	0.33	0	1	Group	Box	5	1	4	M	MUFFIN 4345	3
NAHAGIO 4532	30037	F	18	06/06/2007	25	M	NA	NA	0	Group	Box	3	0	0	M	NAHAGIO 4532	3
NAHJA 5664	33058	F	18	06/06/2007	16	N	0.67	0.33	1	Group	Box	6	1	1	N	NAHJA 5664	3
NAHKO 5295	31731	M	18	06/06/2007	20	M	NA	NA	0	Group	Box	2	0	0	M	NAHKO 5295	3
NICK 5432	32240	M	18	06/06/2007	19	M	NA	NA	0	Group	Box	7	0	6	M	NICK 5432	3
NINA 4760	30654	F	18	06/06/2007	23	M	0.67	0.33	1	Group	Box	4	1	4	M	NINA 4760	3
NOWI 4716	30448	M	18	06/06/2007	24	M	NA	NA	0	Group	Box	4	0	1	M	NOWI 4716	3
OKI 5080	30999	F	18	06/06/2007	22	M	NA	NA	0	Group	Box	4	0	0	M	OKI 5080	3
OREO 5315	31804	F	18	06/06/2007	20	N	NA	NA	0	Group	Box	2	0	1	N	OREO 5315	3
OSCAR 5563	32702	M	18	06/06/2007	17	N	NA	NA	0	Group	Box	3	0	0	N	OSCAR 5563	3
PACER 2957	25934	M	18	06/06/2007	36	M	0.33	0	1	Group	Box	2	1	1	W	PACER 2957	4
PAHSTIHL 5221	31467	F	18	06/06/2007	21	N	NA	NA	0	Group	Box	2	0	0	N	PAHSTIHL 5221	3
PATTI 2371	25204	F	18	06/06/2007	38	M	0.33	0	1	Group	Box	2	1	2	W	PATTI 2371	4
PECOS 5421	32201	M	18	06/06/2007	19	M	0.33	0	1	Group	Box	5	1	4	M	PECOS 5421	3
PEHGIA 5047	30860	F	18	06/06/2007	22	M	NA	NA	0	Group	Box	1	0	0	M	PEHGIA 5047	3
PEPPER 2106	24473	F	18	06/06/2007	40	M	0.67	0.33	1	Group	Box	9	1	4	W	PEPPER 2106	4
PERRY 1549	23012	M	18	06/06/2007	44	M	0.33	0	1	Group	Box	2	1	2	W	PERRY 1549	4
PIERRE 1844	22647	M	18	06/06/2007	45	M	0.33	0	1	Group	Box	4	1	4	W	PIERRE 1844	4
PIMACH 5873	33936	M	18	06/06/2007	14	M	NA	NA	0	Group	Box	4	0	0	M	PIMACH 5873	2
PIPLIN 6035	34484	M	18	06/06/2007	13	M	NA	NA	0	Group	Box	2	0	0	M	PIPLIN 6035	2
POLLY 1756	24838	F	18	06/06/2007	39	M	NA	NA	0	Group	Box	6	0	5	W	POLLY 1756	4
PRISSY 2430	24838	F	18	06/06/2007	39	M	NA	NA	0	Group	Box	4	0	4	W	PRISSY 2430	4
PUNCH 4647	30313	M	18	06/06/2007	24	M	0.67	0.33	1	Group	Box	6	1	3	M	PUNCH 4647	3
QUINCY 2721	25934	F	18	06/06/2007	36	M	0.33	0	1	Group	Box	6	1	1	W	QUINCY 2721	4
RADAR 5608	32887	M	18	06/06/2007	17	M	0.33	0	1	Group	Box	7	1	3	M	RADAR 5608	3
REEUH 5294	31714	M	18	06/06/2007	20	M	NA	NA	0	Group	Box	1	0	0	M	REEUH 5294	3
RHODA 1841	23012	F	18	06/06/2007	44	M	NA	NA	0	Group	Box	2	0	0	W	RHODA 1841	4
ROGER 2246	25569	M	18	06/06/2007	37	M	NA	NA	0	Group	Box	0	0	0	W	ROGER 2246	4
ROSIE 3459	27390	F	18	06/06/2007	32	U	NA	NA	0	Group	Box	4	0	4	U	ROSIE 3459	3
ROXANNE 5681	33143	F	18	06/06/2007	16	M	NA	NA	0	Group	Box	0	0	0	M	ROXANNE 5681	3
RUSTY 6176	34989	M	18	06/06/2007	11	M	0.33	0	1	Group	Box	3	1	1	M	RUSTY 6176	2
SABRINA 2167	24838	F	18	06/06/2007	39	M	NA	NA	0	Group	Box	3	0	0	W	SABRINA 2167	4
SAHBA 5666	33063	F	18	06/06/2007	16	M	NA	NA	0	Group	Box	4	0	0	M	SAHBA 5666	3
SAMSON 5063	30939	M	18	06/06/2007	22	M	0.33	0	1	Group	Box	5	1	4	M	SAMSON 5063	3
SANDY 3153	26299	F	18	06/06/2007	35	M	0.33	0	1	Group	Box	7	1	4	W	SANDY 3153	4
SHAHEE 5645	33016	M	18	06/06/2007	17	M	NA	NA	0	Group	Box	6	0	0	M	SHAHEE 5645	3
SIMBA 2724	25934	M	18	06/06/2007	36	M	NA	NA	0	Group	Box	3	0	0	W	SIMBA 2724	4
SKEETER 3823	36330	M	18	06/06/2007	7	U	NA	NA	0	Group	Box	4	0	4	U	SKEETER 3823	1
SIMON 2113	24838	M	18	06/06/2007	39	M	0.33	0	1	Group	Box	4	1	1	W	SIMON 2113	4
SINDEE 6496	36330	F	18	06/06/2007	7	M	NA	NA	0	Group	Box	6	0	4	M	SINDEE 6496	1
SOPHIE 5442	32289	F	18	06/06/2007	19	M	0.33	0	1	Group	Box	6	1	4	M	SOPHIE 5442	3
SPARKY 5492	32479	M	18	06/06/2007	18	N	NA	NA	0	Group	Box	0	0	0	N	SPARKY 5492	3
STAUN 5036	30829	M	18	06/06/2007	23	M	NA	NA	0	Group	Box	3	0	0	M	STAUN 5036	3
SUHNA 5647	33028	F	18	06/06/2007	17	M	0.33	0	1	Group	Box	3	1	1	M	SUHNA 5647	3
TABU 9703	33475	M	18	06/06/2007	15	M	NA	NA	0	Group	Box	2	0	0	M	TABU 9703	2
TAFFY 9713	36396	F	18	06/06/2007	7	M	NA	NA	0	Group	Box	0	0	0	M	TAFFY 9713	1
TAHMIA 5565	32704	F	18	06/06/2007	17	M	NA	NA	0	Group	Box	1	0	0	M	TAHMIA 5565	3
TAMBLO 5695	33230	M	18	06/06/2007	16	M	NA	NA	0	Group	Box	1	0	0	M	TAMBLO 5695	3
TANG 2169	24838	F	18	06/06/2007	39	M	NA	NA	0	Group	Box	3	0	0	W	TANG 2169	4
TANYA 2354	25204	F	18	06/06/2007	38	M	NA	NA	0	Group	Box	0	0	0	W	TANYA 2354	4
TASHA 5871	33926	F	18	06/06/2007	14	M	0.67	0.33	1	Group	Box	7	1	3	M	TASHA 5871	2
TINA 5210	31436	F	18	06/06/2007	21	M	0.33	0	1	Group	Box	6	1	4	M	TINA 5210	3
TINKER 4751	30619	M	18	06/06/2007	23	U	NA	NA	0	Group	Box	3	0	3	U	TINKER 4751	3
TODY 2720	25934	F	18	06/06/2007	36	M	NA	NA	0	Group	Box	0	0	0	W	TODY 2720	4
TOHBI 5556	32673	M	18	06/06/2007	17	M	NA	NA	0	Group	Box	2	0	0	M	TOHBI 5556	3
TONY 5651	33044	M	18	06/06/2007	16	U	NA	NA	0	Group	Box	2	0	2	U	TONY 5651	3
TOTONI 6007	34363	M	18	06/06/2007	13	M	NA	NA	0	Group	Box	2	0	0	M	TOTONI 6007	2
TRACEY 5300	31778	F	18	06/06/2007	20	N	NA	NA	0	Group	Box	2	0	2	N	TRACEY 5300	3
TULIK 4206	29342	F	18	06/06/2007	27	M	0.33	0	1	Group	Box	6	1	2	M	TULIK 4206	3
VERANA 2431	25204	F	18	06/06/2007	38	M	NA	NA	0	Group	Box	4	0	3	W	VERANA 2431	4
URSULA 1719	23377	F	18	06/06/2007	43	M	NA	NA	0	Group	Box	4	0	4	W	URSULA 1719	4
WOTONI 4562	30115	F	18	06/06/2007	24	M	NA	NA	0	Group	Box	0	0	0	M	WOTONI 4562	3
XENA 6487	36229	F	18	06/06/2007	8	M	0.33	0	1	Group	Box	3	1	2	M	XENA 6487	2
ZIPPY 2537	25934	M	18	06/06/2007	36	M	NA	NA	0	Group	Box	3	0	3	W	ZIPPY 2537	4
ZOE 10254	37359	F	18	06/06/2007	5	M	0.67	0.33	1	Group	Box	8	1	4	M	ZOE 10254	1
ABBEY 2105	32955	F	19	06/06/2008	18	M	NA	NA	0	Group	Box	2	0	2	W	ABBEY 2105	3
ADONIS 3521	27434	M	19	06/06/2008	33	M	NA	NA	0	Group	Box	4	0	4	M	ADONIS 3521	3
AHNI 6104	34721	F	19	06/06/2008	13	M	NA	NA	0	Group	Box	4	0	1	M	AHNI 6104	2
AJAX 3912	28491	M	19	06/06/2008	30	U	NA	NA	0	Group	Box	6	0	6	U	AJAX 3912	3
AKIMEL 4152	29260	M	19	06/06/2008	28	N	0.333333	-0.416667	1	Group	Box	6	1	2	N	AKIMEL 4152	3
ALEX 5188	31412	M	19	06/06/2008	22	M	NA	NA	0	Group	Box	6	0	5	M	ALEX 5188	3
ALLIE 5540	32622	F	19	06/06/2008	19	N	NA	NA	0	Group	Box	0	0	0	N	ALLIE 5540	3
ALPHA 5066	30994	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	7	0	6	M	ALPHA 5066	3
ANGIE 3462	27395	F	19	06/06/2008	33	M	NA	NA	0	Group	Box	5	0	1	W	ANGIE 3462	3
ARMOND 9728	31720	M	19	06/06/2008	21	U	NA	NA	0	Group	Box	5	0	5	U	ARMOND 9728	3
APRIL 420	29341	F	19	06/06/2008	28	M	NA	NA	0	Group	Box	4	0	3	M	APRIL 420	3
AUSTIN 5803	33608	M	19	06/06/2008	16	M	NA	NA	0	Group	Box	5	0	2	M	AUSTIN 5803	3
BAHN 4523	30012	M	19	06/06/2008	26	M	NA	NA	0	Group	Box	3	0	1	M	BAHN 4523	3
BART 5630	32955	M	19	06/06/2008	18	N	NA	NA	0	Group	Box	2	0	2	N	BART 5630	3
BASHFUL 1768	24108	F	19	06/06/2008	42	M	NA	NA	0	Group	Box	1	0	1	W	BASHFUL 1768	4
BECCA 5717	33280	F	19	06/06/2008	17	N	NA	NA	0	Group	Box	5	0	3	N	BECCA 5717	3
BERNADETTE 3867	28539	F	19	06/06/2008	30	N	NA	NA	0	Group	Box	8	0	3	N	BERNADETTE 3867	3
BERNIE 1929	24473	F	19	06/06/2008	41	M	NA	NA	0	Group	Box	3	0	3	W	BERNIE 1929	4
BETA 6039	34508	F	19	06/06/2008	13	M	NA	NA	0	Group	Box	5	0	4	M	BETA 6039	2
BETSY 1856	23743	F	19	06/06/2008	43	M	NA	NA	0	Group	Box	3	0	3	W	BETSY 1856	4
BETTY 3440	27277	F	19	06/06/2008	33	M	NA	NA	0	Group	Box	7	0	6	M	BETTY 3440	3
BILLY 5957	34136	M	19	06/06/2008	14	M	NA	NA	0	Group	Box	6	0	4	M	BILLY 5957	2
BISCHK 5180	31388	F	19	06/06/2008	22	M	NA	NA	0	Group	Box	1	0	0	M	BISCHK 5180	3
BO 5951	34105	M	19	06/06/2008	15	M	NA	NA	0	Group	Box	5	0	4	M	BO 5951	2
BRENDA 2768	26299	F	19	06/06/2008	36	M	NA	NA	0	Group	Box	4	0	4	W	BRENDA 2768	4
BRIA 6167	34942	F	19	06/06/2008	12	M	NA	NA	0	Group	Box	6	0	4	M	BRIA 6167	2
BRUCE 3402	27365	M	19	06/06/2008	33	U	NA	NA	0	Group	Box	0	0	0	U	BRUCE 3402	3
CASSIE 5555	32662	F	19	06/06/2008	19	M	NA	NA	0	Group	Box	6	0	4	M	CASSIE 5555	3
CATHERINE 4015	28897	F	19	06/06/2008	29	M	NA	NA	0	Group	Box	1	0	0	M	CATHERINE 4015	3
CECELIA 5721	33293	F	19	06/06/2008	17	M	NA	NA	0	Group	Box	9	0	4	M	CECELIA 5721	3
CESAR 5383	32064	M	19	06/06/2008	20	N	NA	NA	0	Group	Box	0	0	0	N	CESAR 5383	3
CHECHEKUL 4544	30074	F	19	06/06/2008	26	N	NA	NA	0	Group	Box	0	0	0	N	CHECHEKUL 4544	3
CHEOPI 6493	33216	F	19	06/06/2008	17	N	1	0.25	1	Group	Box	5	1	2	N	CHEOPI 6493	3
CHESTER 6208	35097	M	19	06/06/2008	12	M	NA	NA	0	Group	Box	6	0	2	M	CHESTER 6208	2
CHINOOK 5465	32380	M	19	06/06/2008	19	U	NA	NA	0	Group	Box	7	0	5	U	CHINOOK 5465	3
CHRISSY 2525	25563	F	19	06/06/2008	38	M	NA	NA	0	Group	Box	2	0	0	M	CHRISSY 2525	4
CHUHIA 4244	29478	F	19	06/06/2008	27	M	NA	NA	0	Group	Box	2	0	1	M	CHUHIA 4244	3
COCO 5061	30914	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	3	0	1	M	COCO 5061	3
CODY 5618	32909	M	19	06/06/2008	18	M	NA	NA	0	Group	Box	3	0	2	M	CODY 5618	3
CORDOVA 2763	26299	M	19	06/06/2008	36	M	NA	NA	0	Group	Box	2	0	1	W	CORDOVA 2763	4
CYBILL 6182	35030	F	19	06/06/2008	12	M	NA	NA	0	Group	Box	0	0	0	M	CYBILL 6182	2
DAHPI 5130	31262	F	19	06/06/2008	22	M	NA	NA	0	Group	Box	2	0	0	M	DAHPI 5130	3
DODA 4654	30336	F	19	06/06/2008	25	N	NA	NA	0	Group	Box	3	0	0	N	DODA 4654	3
DOYLE 4721	30458	M	19	06/06/2008	25	M	NA	NA	0	Group	Box	5	0	4	M	DOYLE 4721	3
EESHA 5229	31492	F	19	06/06/2008	22	N	NA	NA	0	Group	Box	0	0	0	N	EESHA 5229	3
EHSTO 6174	34978	M	19	06/06/2008	12	M	NA	NA	0	Group	Box	4	0	2	M	EHSTO 6174	2
EMILY 5073	31006	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	6	0	4	M	EMILY 5073	3
ENIGA 10245	31167	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	2	0	0	M	ENIGA 10245	3
GAGE 7153	36950	M	19	06/06/2008	7	M	NA	NA	0	Group	Box	6	0	5	M	GAGE 7153	1
GAYGOS 5787	33551	M	19	06/06/2008	16	N	NA	NA	0	Group	Box	5	0	1	N	GAYGOS 5787	3
GERTRUDE 2201	24838	F	19	06/06/2008	40	M	NA	NA	0	Group	Box	6	0	4	W	GERTRUDE 2201	4
GIGI 1732	22647	F	19	06/06/2008	46	M	NA	NA	0	Group	Box	5	0	4	W	GIGI 1732	4
GIMP 9696	25204	M	19	06/06/2008	39	M	NA	NA	0	Group	Box	5	0	4	W	GIMP 9696	4
GISOKI 4746	30607	M	19	06/06/2008	24	M	NA	NA	0	Group	Box	2	0	1	M	GISOKI 4746	3
GLENDA 2108	24473	F	19	06/06/2008	41	M	NA	NA	0	Group	Box	2	0	2	W	GLENDA 2108	4
GRACIE 5867	33851	F	19	06/06/2008	15	N	NA	NA	0	Group	Box	3	0	1	N	GRACIE 5867	2
GREMLIN 2601	25934	M	19	06/06/2008	37	M	NA	NA	0	Group	Box	2	0	1	W	GREMLIN 2601	4
HAAKID 5797	33602	M	19	06/06/2008	16	M	1	0.25	1	Group	Box	4	1	2	M	HAAKID 5797	3
HANNAH 5691	33219	F	19	06/06/2008	17	M	NA	NA	0	Group	Box	6	0	2	M	HANNAH 5691	3
HAPPY 3741	28124	F	19	06/06/2008	31	U	NA	NA	0	Group	Box	0	0	0	U	HAPPY 3741	3
HAPPY P 1407	22647	F	19	06/06/2008	46	M	NA	NA	0	Group	Box	0	0	0	W	HAPPY P 1407	4
HELGA 2006	24108	F	19	06/06/2008	42	M	NA	NA	0	Group	Box	4	0	3	W	HELGA 2006	4
HENRYET 2602	26299	F	19	06/06/2008	36	M	NA	NA	0	Group	Box	0	0	0	W	HENRYET 2602	4
HOBBES 5659	33071	M	19	06/06/2008	17	N	NA	NA	0	Group	Box	5	0	3	N	HOBBES 5659	3
HODARI 5941	34061	F	19	06/06/2008	15	M	NA	NA	0	Group	Box	5	0	4	M	HODARI 5941	2
HUEY 5687	33189	M	19	06/06/2008	17	M	NA	NA	0	Group	Box	4	0	4	M	HUEY 5687	3
HUG 6377	35748	F	19	06/06/2008	10	M	NA	NA	0	Group	Box	1	0	0	M	HUG 6377	2
HUHKALIG 4703	30395	M	19	06/06/2008	25	M	NA	NA	0	Group	Box	4	0	1	M	HUHKALIG 4703	3
HUHNI 6046	34562	M	19	06/06/2008	13	M	NA	NA	0	Group	Box	2	0	1	M	HUHNI 6046	2
IDANI 5048	30893	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	2	0	0	M	IDANI 5048	3
INDIA 5276	31729	F	19	06/06/2008	21	N	NA	NA	0	Group	Box	1	0	1	N	INDIA 5276	3
IRIS 5835	33732	F	19	06/06/2008	16	N	NA	NA	0	Group	Box	0	0	0	N	IRIS 5835	3
JAKE 5658	33045	M	19	06/06/2008	17	M	NA	NA	0	Group	Box	2	0	1	M	JAKE 5658	3
JANA 5430	32218	F	19	06/06/2008	20	M	NA	NA	0	Group	Box	4	0	3	M	JANA 5430	3
JANE 2830	25934	F	19	06/06/2008	37	M	NA	NA	0	Group	Box	6	0	4	W	JANE 2830	4
JAYME 4047	28997	F	19	06/06/2008	29	N	NA	NA	0	Group	Box	0	0	0	N	JAYME 4047	3
JESSIE 5905	33988	F	19	06/06/2008	15	M	NA	NA	0	Group	Box	5	0	3	M	JESSIE 5905	2
JOEY 3033	26299	M	19	06/06/2008	36	M	NA	NA	0	Group	Box	6	0	5	W	JOEY 3033	4
JOSIE 5626	32936	F	19	06/06/2008	18	M	NA	NA	0	Group	Box	5	0	1	M	JOSIE 5626	3
JOYCE 3865	28518	F	19	06/06/2008	30	U	NA	NA	0	Group	Box	0	0	0	U	JOYCE 3865	3
JUDUMI 5676	33111	M	19	06/06/2008	17	N	NA	NA	0	Group	Box	6	0	2	N	JUDUMI 5676	3
JUDY 2170	24838	F	19	06/06/2008	40	M	NA	NA	0	Group	Box	5	0	4	W	JUDY 2170	4
JUNIE 2243	24108	F	19	06/06/2008	42	M	NA	NA	0	Group	Box	1	0	1	W	JUNIE 2243	4
KAKAICHU 4305	29566	F	19	06/06/2008	27	M	NA	NA	0	Group	Box	3	0	0	M	KAKAICHU 4305	3
KALIONI 4441	29863	M	19	06/06/2008	26	M	NA	NA	0	Group	Box	6	0	2	M	KALIONI 4441	3
KAMPANI 5711	33266	F	19	06/06/2008	17	M	NA	NA	0	Group	Box	1	0	0	M	KAMPANI 5711	3
KAREEM 6880	32512	M	19	06/06/2008	19	U	NA	NA	0	Group	Box	2	0	2	U	KAREEM 6880	3
KARIN 1422	22647	F	19	06/06/2008	46	M	NA	NA	0	Group	Box	3	0	3	W	KARIN 1422	4
KAYA 5679	33137	F	19	06/06/2008	17	N	NA	NA	0	Group	Box	1	0	1	N	KAYA 5679	3
KEHG 4540	30071	M	19	06/06/2008	26	M	NA	NA	0	Group	Box	3	0	1	M	KEHG 4540	3
KELLEY 2107	24108	F	19	06/06/2008	42	M	NA	NA	0	Group	Box	5	0	4	W	KELLEY 2107	4
KENO 5753	33402	M	19	06/06/2008	16	N	NA	NA	0	Group	Box	5	0	3	N	KENO 5753	3
KIA 5377	32035	F	19	06/06/2008	20	M	NA	NA	0	Group	Box	1	0	0	M	KIA 5377	3
KIHT 5461	32361	F	19	06/06/2008	19	N	1	0.25	1	Group	Box	5	1	2	N	KIHT 5461	3
KOBI 3020	26299	M	19	06/06/2008	36	M	NA	NA	0	Group	Box	5	0	0	W	KOBI 3020	4
KROG 5823	33671	M	19	06/06/2008	16	M	NA	NA	0	Group	Box	1	0	1	M	KROG 5823	3
KUDZU 4639	30292	M	19	06/06/2008	25	M	NA	NA	0	Group	Box	5	0	4	M	KUDZU 4639	3
KUHTA 4162	29291	M	19	06/06/2008	28	M	NA	NA	0	Group	Box	5	0	1	M	KUHTA 4162	3
KUKUI 5035	30796	M	19	06/06/2008	24	M	NA	NA	0	Group	Box	2	0	1	M	KUKUI 5035	3
LACEY 3915	28605	F	19	06/06/2008	30	U	NA	NA	0	Group	Box	2	0	2	U	LACEY 3915	3
LEXUS 6396	35849	F	19	06/06/2008	10	M	NA	NA	0	Group	Box	6	0	5	M	LEXUS 6396	2
LULU 4510	29967	F	19	06/06/2008	26	M	NA	NA	0	Group	Box	5	0	3	M	LULU 4510	3
LYLE 6427	36106	M	19	06/06/2008	9	M	NA	NA	0	Group	Box	6	0	4	M	LYLE 6427	2
MAE 2242	23743	F	19	06/06/2008	43	M	NA	NA	0	Group	Box	3	0	2	W	MAE 2242	4
MAGIC 5855	33809	M	19	06/06/2008	15	M	NA	NA	0	Group	Box	7	0	5	M	MAGIC 5855	2
MAHI 5650	33034	F	19	06/06/2008	18	M	NA	NA	0	Group	Box	3	0	1	M	MAHI 5650	3
MAHSHO 5480	32442	M	19	06/06/2008	19	M	0	-0.75	0	Group	Box	5	1	2	M	MAHSHO 5480	3
MAISHPA 4520	30007	F	19	06/06/2008	26	N	NA	NA	0	Group	Box	4	0	0	N	MAISHPA 4520	3
MANDY 5062	30933	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	6	0	4	M	MANDY 5062	3
MARCUS 5789	33560	M	19	06/06/2008	16	M	NA	NA	0	Group	Box	3	0	2	M	MARCUS 5789	3
MARTHA 2429	24108	F	19	06/06/2008	42	M	1	0.25	1	Group	Box	9	1	6	W	MARTHA 2429	4
MARTIN 5883	33959	M	19	06/06/2008	15	M	NA	NA	0	Group	Box	6	0	5	M	MARTIN 5883	2
MARY 1855	23743	F	19	06/06/2008	43	M	1	0.25	1	Group	Box	7	1	4	W	MARY 1855	4
MAXI 5360	31978	F	19	06/06/2008	20	N	NA	NA	0	Group	Box	3	0	1	N	MAXI 5360	3
MAYNARD 2200	26299	M	19	06/06/2008	36	M	NA	NA	0	Group	Box	9	0	6	W	MAYNARD 2200	4
MICHON 4648	30314	F	19	06/06/2008	25	M	NA	NA	0	Group	Box	6	0	5	M	MICHON 4648	3
MILONI 5050	30940	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	1	0	0	M	MILONI 5050	3
MISCHINI 5301	31778	F	19	06/06/2008	21	M	NA	NA	0	Group	Box	1	0	0	M	MISCHINI 5301	3
MISTY 5042	30850	F	19	06/06/2008	23	U	NA	NA	0	Group	Box	3	0	3	U	MISTY 5042	3
MONIQUE 5769	33480	F	19	06/06/2008	16	M	NA	NA	0	Group	Box	4	0	4	M	MONIQUE 5769	3
MOOSE 2045	25569	M	19	06/06/2008	38	M	NA	NA	0	Group	Box	10	0	6	W	MOOSE 2045	4
MUFFIN 4345	29676	F	19	06/06/2008	27	M	NA	NA	0	Group	Box	5	0	4	M	MUFFIN 4345	3
NAHAGIO 4532	30037	F	19	06/06/2008	26	M	NA	NA	0	Group	Box	3	0	1	M	NAHAGIO 4532	3
NAHJA 5664	33058	F	19	06/06/2008	17	N	1	0.25	1	Group	Box	6	1	2	N	NAHJA 5664	3
NAHKO 5295	31731	M	19	06/06/2008	21	M	NA	NA	0	Group	Box	2	0	0	M	NAHKO 5295	3
NICK 5432	32240	M	19	06/06/2008	20	M	NA	NA	0	Group	Box	7	0	6	M	NICK 5432	3
NINA 4760	30654	F	19	06/06/2008	24	M	NA	NA	0	Group	Box	4	0	4	M	NINA 4760	3
NOWI 4716	30448	M	19	06/06/2008	25	M	NA	NA	0	Group	Box	4	0	2	M	NOWI 4716	3
OKI 5080	30999	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	4	0	0	M	OKI 5080	3
OREO 5315	31804	F	19	06/06/2008	21	N	NA	NA	0	Group	Box	2	0	2	N	OREO 5315	3
OSCAR 5563	32702	M	19	06/06/2008	18	N	NA	NA	0	Group	Box	3	0	1	N	OSCAR 5563	3
PACER 2957	25934	M	19	06/06/2008	37	M	NA	NA	0	Group	Box	2	0	2	W	PACER 2957	4
PAHSTIHL 5221	31467	F	19	06/06/2008	22	N	NA	NA	0	Group	Box	2	0	0	N	PAHSTIHL 5221	3
PATTI 2371	25204	F	19	06/06/2008	39	M	NA	NA	0	Group	Box	2	0	2	W	PATTI 2371	4
PECOS 5421	32201	M	19	06/06/2008	20	M	NA	NA	0	Group	Box	5	0	5	M	PECOS 5421	3
PEHGIA 5047	30860	F	19	06/06/2008	23	M	NA	NA	0	Group	Box	1	0	0	M	PEHGIA 5047	3
PEPPER 2106	24473	F	19	06/06/2008	41	M	NA	NA	0	Group	Box	9	0	4	W	PEPPER 2106	4
PERRY 1549	23012	M	19	06/06/2008	45	M	NA	NA	0	Group	Box	2	0	2	W	PERRY 1549	4
PIERRE 1844	22647	M	19	06/06/2008	46	M	NA	NA	0	Group	Box	4	0	4	W	PIERRE 1844	4
PIMACH 5873	33936	M	19	06/06/2008	15	M	NA	NA	0	Group	Box	4	0	0	M	PIMACH 5873	2
PIPLIN 6035	34484	M	19	06/06/2008	14	M	NA	NA	0	Group	Box	2	0	0	M	PIPLIN 6035	2
POLLY 1756	24838	F	19	06/06/2008	40	M	NA	NA	0	Group	Box	6	0	5	W	POLLY 1756	4
PRISSY 2430	24838	F	19	06/06/2008	40	M	NA	NA	0	Group	Box	4	0	4	W	PRISSY 2430	4
PUNCH 4647	30313	M	19	06/06/2008	25	M	NA	NA	0	Group	Box	6	0	4	M	PUNCH 4647	3
QUINCY 2721	25934	F	19	06/06/2008	37	M	NA	NA	0	Group	Box	6	0	1	W	QUINCY 2721	4
RADAR 5608	32887	M	19	06/06/2008	18	M	1	0.25	1	Group	Box	7	1	4	M	RADAR 5608	3
REEUH 5294	31714	M	19	06/06/2008	21	M	NA	NA	0	Group	Box	1	0	0	M	REEUH 5294	3
RHODA 1841	23012	F	19	06/06/2008	45	M	NA	NA	0	Group	Box	2	0	1	W	RHODA 1841	4
ROGER 2246	25569	M	19	06/06/2008	38	M	NA	NA	0	Group	Box	0	0	0	W	ROGER 2246	4
