animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
GRACIE 5867	33851	F	1	01/03/2010	17	N	NA	NA	0	Video	Diet	3	0	1	N	GRACIE 5867	3
GREMLIN 2601	25934	M	1	01/03/2010	39	M	NA	NA	0	Video	Diet	2	0	1	W	GREMLIN 2601	4
HAAKID 5797	33602	M	1	01/03/2010	18	M	NA	NA	0	Video	Diet	4	0	2	M	HAAKID 5797	3
HANNAH 5691	33219	F	1	01/03/2010	19	M	NA	NA	0	Video	Diet	6	0	2	M	HANNAH 5691	3
HAPPY 3741	28124	F	1	01/03/2010	33	U	NA	NA	0	Video	Diet	0	0	0	U	HAPPY 3741	3
HAPPY P 1407	22647	F	1	01/03/2010	48	M	NA	NA	0	Video	Diet	0	0	0	W	HAPPY P 1407	4
HELGA 2006	24108	F	1	01/03/2010	44	M	NA	NA	0	Video	Diet	4	0	3	W	HELGA 2006	4
HENRYET 2602	26299	F	1	01/03/2010	38	M	NA	NA	0	Video	Diet	0	0	0	W	HENRYET 2602	4
HOBBES 5659	33071	M	1	01/03/2010	19	N	0	-1	0	Video	Diet	5	1	4	N	HOBBES 5659	3
HODARI 5941	34061	F	1	01/03/2010	16	M	NA	NA	0	Video	Diet	5	0	4	M	HODARI 5941	3
HUEY 5687	33189	M	1	01/03/2010	19	M	NA	NA	0	Video	Diet	4	0	4	M	HUEY 5687	3
HUG 6377	35748	F	1	01/03/2010	12	M	NA	NA	0	Video	Diet	1	0	0	M	HUG 6377	2
HUHKALIG 4703	30395	M	1	01/03/2010	26	M	1	0	1	Video	Diet	4	1	2	M	HUHKALIG 4703	3
HUHNI 6046	34562	M	1	01/03/2010	15	M	NA	NA	0	Video	Diet	2	0	1	M	HUHNI 6046	2
IDANI 5048	30893	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	2	0	0	M	IDANI 5048	3
INDIA 5276	31729	F	1	01/03/2010	23	N	NA	NA	0	Video	Diet	1	0	1	N	INDIA 5276	3
IRIS 5835	33732	F	1	01/03/2010	17	N	NA	NA	0	Video	Diet	0	0	0	N	IRIS 5835	3
JAKE 5658	33045	M	1	01/03/2010	19	M	NA	NA	0	Video	Diet	2	0	1	M	JAKE 5658	3
JANA 5430	32218	F	1	01/03/2010	21	M	NA	NA	0	Video	Diet	4	0	3	M	JANA 5430	3
JANE 2830	25934	F	1	01/03/2010	39	M	0	-1	0	Video	Diet	6	1	5	W	JANE 2830	4
